relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - bacterial genetics MCQs.pdf	38421	802d971b877b6af90552beb6760e05b95cab046cc4de2971f13f8e3a01ef9f43	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	3		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - bacterial growth mcqs.pdf	73423	99c432be9bba05e5b9cef41f9baa4d6ed2587fe2a8281ec93afafc19c5b52438	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	4		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - general bacteria part 2 MCQs.pdf	634948	86b794ed659d725a5d2a2f236a11bf14760c26e326febfb9fdbbbff8e5322e5c	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	8		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - mcq all.pdf	4018029	d2c8016367c7ae6d5715097aa5845c2011f522daa64738dd3ece18ab7512edaa	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	12		1379	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/06 EOM Exams/EOM - FHB102 FINAL REVISION 2025.pdf	3097561	eb83aed17e5e468bc64ed11774fa1ccc548bb7c3c28ebe96f90e37d97d7e7bc8	Year 1	Semester 102	FHB 102-2	Microbiology	06 EOM Exams	52		129	sparse-text
Year 1/Semester 102/FHB 102-2/Microbiology/06 EOM Exams/EOM - General Characteristics of Medically Important Bacteria (Final).pdf	1245400	7382438a5e045c543427c3b242ee0274b8498e6f2b7cad6db1b93decf7665072	Year 1	Semester 102	FHB 102-2	Microbiology	06 EOM Exams	1		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/06 EOM Exams/EOM - Micro FHB102-2 & MSK102-2 Subjects of Exam Final Spring 2025.pdf	227821	3e0a1510ac1eee19dffd8c66c764b31ba5d9ba32c9a1327ba769cc45a26b8be5	Year 1	Semester 102	FHB 102-2	Microbiology	06 EOM Exams	3		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/06 EOM Exams/EOM - [Empty] FHB102 FINAL REVISION 2025.pdf	12825034	6f8c8d58b36dce48323583f692c5774aed8593e6fa3d22305068d4a3036b3901	Year 1	Semester 102	FHB 102-2	Microbiology	06 EOM Exams	52		129	audit-extract-failed
Year 1/Semester 102/FHB 102-2/Microbiology/06 EOM Exams/EOM MCQs - Final OSPE Simulation FHB102_Mucize Doctors.pdf	1113272	9d8fd6b6b5d51ccc5049efc430daa26267f57ac04dc11717686cfad21af7edf1	Year 1	Semester 102	FHB 102-2	Microbiology	06 EOM Exams	18		460	sparse-text
Year 1/Semester 102/FHB 102-2/Microbiology/06 EOM Exams/EOM MCQs - Microbiology FHB102-2 Questions (Final).pdf	280595	de82a2be9297f187ff00807a2769b02a8c31cc4d8f9a0a5deb28fb4ad1067c9e	Year 1	Semester 102	FHB 102-2	Microbiology	06 EOM Exams	40		1641	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/08 Midterm Exams/FHB Microbiology Midterm Notes.pdf	933137	90bde8572955a23f5602a2cd4c2a154f8b64bae1e0e6b6c5cadb766423dd28ab	Year 1	Semester 102	FHB 102-2	Microbiology	08 Midterm Exams	12		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/08 Midterm Exams/📌Microbiology Midterm [FHB part].pdf	9142066	80f72f43a806337f940d1c1813329f785cf787804b7c80e94cf000315dfec631	Year 1	Semester 102	FHB 102-2	Microbiology	08 Midterm Exams	26		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - AT - Book 3.pdf	6135721	fff8595dff5a949b535fb293c39c48a151e872b5af33df472b102924b655c201	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	25		46	sparse-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - Fhb para (answers & notes).pdf	2524365	5c62279de4964083aecb96a5bd72d47690b0fb569a38779992c2b987d9ce7e8e	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	10		2	empty-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - Medical_Parasitology_Quiz_MCQs_SAQs.pdf	11824	41dce21bb593fae3d41ef4ae1f5728fdbe8db0ab363efde1b832d49734ea6f0c	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	8		1800	substantive-text
